"State","BankState","ApprovalFY","Term","NoEmp","NewExist","CreateJob","RetainedJob","UrbanRural","RevLineCr","DisbursementGross","MIS_Status","GrAppv","SBA_Appv","WhichCompany","yearsAfterAprv"
"Midwest","Midwest",2000,120,2,"New",0,2,"Urban","0",2e+05,"P I F",2e+05,150000,"81",22
"Pacific West","Pacific West",2000,12,2,"NotNew",0,2,"Urban","0",50000,"P I F",50000,25000,"33",22
"Pacific West","Pacific West",2010,84,8,"NotNew",2,10,"Urban","N",75000,"P I F",75000,67500,"44",12
"Midwest","Midwest",2001,24,5,"NotNew",1,4,"Urban","Y",25000,"P I F",25000,12500,"62",21
"Midwest","Midwest",2010,78,3,"NotNew",0,3,"Rural","N",35000,"P I F",35000,35000,"81",12
"Northeast","Northeast",2001,48,2,"NotNew",0,0,"Urban","Y",124077,"P I F",1e+05,50000,"33",21
"Southeast","Southeast",1990,120,1,"NotNew",0,0,"Undefined","N",250000,"P I F",250000,212500,"44",32
"Midwest","Midwest",2001,84,4,"NotNew",0,0,"Urban","0",53200,"P I F",53200,42560,"45",21
"Northeast","Northeast",2001,60,3,"New",0,0,"Urban","0",51000,"P I F",51000,25500,"23",21
"Midwest","Midwest",2001,60,9,"NotNew",0,0,"Rural","0",75000,"P I F",75000,60000,"31",21
"Plains","Plains",1990,60,3,"NotNew",0,0,"Undefined","N",15000,"P I F",15000,13500,"00",32
"Midwest","Plains",2001,123,10,"NotNew",0,10,"Urban","0",4e+05,"P I F",4e+05,3e+05,"72",21
"Northeast","Northeast",2001,60,7,"New",0,0,"Urban","N",35000,"P I F",35000,28000,"72",21
"Midwest","Midwest",1990,240,30,"NotNew",0,0,"Undefined","N",3e+05,"P I F",3e+05,225000,"00",32
"Plains","Plains",2001,34,2,"New",0,2,"Urban","0",150000,"P I F",150000,75000,"54",21
"Northeast","Northeast",2001,55,1,"NotNew",0,1,"Urban","0",5e+05,"CHGOFF",5e+05,375000,"23",21
"Midwest","Midwest",2010,35,1,"NotNew",0,1,"Rural","N",35000,"CHGOFF",35000,35000,"23",12
"Northeast","Northeast",1990,72,3,"New",0,0,"Undefined","N",79326,"P I F",120000,108000,"00",32
"Midwest","Midwest",2010,240,6,"New",2,2,"Urban","N",150000,"P I F",150000,135000,"44",12
"Northeast","Northeast",2010,84,4,"NotNew",0,4,"Urban","N",1e+05,"P I F",1e+05,90000,"32",12
"Pacific West","Pacific West",1990,34,7,"New",0,0,"Undefined","N",80000,"P I F",80000,72000,"00",32
"Northeast","Northeast",2001,84,1,"NotNew",0,0,"Rural","0",110000,"P I F",110000,82500,"81",21
"Plains","Plains",2010,120,10,"NotNew",3,10,"Urban","N",225000,"P I F",225000,112500,"44",12
"Pacific West","Pacific West",2001,60,9,"NotNew",0,0,"Urban","N",350000,"P I F",350000,262500,"81",21
"Plains","Southeast",2010,12,8,"NotNew",2,0,"Urban","N",498265,"P I F",5e+05,450000,"42",12
"Northeast","Northeast",2010,60,1,"New",1,2,"Urban","N",10000,"P I F",10000,5000,"56",12
"Plains","Plains",2001,56,1,"NotNew",0,1,"Urban","Y",55000,"P I F",55000,27500,"44",21
"Pacific West","Southeast",2001,84,5,"New",0,5,"Urban","0",59500,"P I F",59500,29750,"44",21
"Northeast","Southeast",2001,180,6,"New",1,6,"Urban","0",136000,"P I F",136000,68000,"62",21
"Pacific West","Pacific West",1990,121,8,"NotNew",0,0,"Undefined","N",110000,"P I F",110000,99000,"00",32
"Midwest","Midwest",2010,84,10,"NotNew",0,10,"Urban","N",275000,"P I F",275000,247500,"72",12
"Plains","Plains",1990,9,6,"NotNew",0,0,"Undefined","N",203825,"P I F",203825,173251,"00",32
"Midwest","Midwest",2001,2,1,"New",2,1,"Urban","0",13100,"P I F",13100,6550,"23",21
"Southeast","Midwest",2010,126,7,"NotNew",0,7,"Urban","N",243000,"P I F",243000,182250,"62",12
"Pacific West","Pacific West",2001,108,10,"NotNew",0,0,"Urban","N",240000,"P I F",240000,6e+05,"32",21
"Northeast","Northeast",2001,30,4,"NotNew",0,0,"Urban","N",85000,"P I F",85000,68000,"42",21
"Pacific West","Pacific West",2001,240,4,"NotNew",0,0,"Urban","N",111000,"P I F",111000,111000,"81",21
"Midwest","Midwest",1990,84,8,"NotNew",0,0,"Undefined","N",148820,"P I F",150000,135000,"00",32
"Midwest","Midwest",1990,84,6,"NotNew",0,0,"Undefined","N",98000,"P I F",98000,88200,"00",32
"Pacific West","Plains",2001,240,3,"NotNew",0,0,"Urban","0",554800,"P I F",554800,416100,"33",21
"Pacific West","Pacific West",1990,84,10,"NotNew",0,0,"Undefined","N",240000,"P I F",240000,204000,"44",32
"Northeast","Pacific West",2010,120,3,"New",3,3,"Urban","N",10000,"P I F",10000,9000,"61",12
"Plains","Pacific West",2001,240,2,"NotNew",0,0,"Rural","N",135000,"P I F",135000,101250,"72",21
"Northeast","Northeast",2001,48,1,"NotNew",0,1,"Urban","Y",30553,"P I F",15400,7700,"11",21
"Northeast","Northeast",2010,12,13,"NotNew",1,14,"Urban","Y",235000,"P I F",150000,75000,"53",12
"Midwest","Midwest",2001,84,5,"New",0,0,"Urban","0",83000,"P I F",83000,66400,"33",21
"Pacific West","Midwest",2010,17,8,"New",2,10,"Urban","N",25000,"P I F",25000,22500,"72",12
"Northeast","Midwest",2010,84,5,"NotNew",2,7,"Urban","N",1e+05,"P I F",100300,50150,"62",12
"Pacific West","Plains",1990,288,8,"NotNew",0,0,"Undefined","N",350000,"P I F",350000,280000,"62",32
"Midwest","Midwest",2010,39,5,"NotNew",0,5,"Urban","N",34000,"CHGOFF",34000,34000,"42",12
"Midwest","Midwest",2001,240,3,"NotNew",0,0,"Urban","N",750000,"P I F",750000,562500,"72",21
"Northeast","Northeast",1990,84,3,"NotNew",0,0,"Undefined","N",3e+05,"P I F",3e+05,240000,"00",32
"Pacific West","Midwest",2001,84,14,"NotNew",2,12,"Urban","0",302000,"P I F",302000,226500,"23",21
"Pacific West","Pacific West",2010,101,22,"NotNew",2,15,"Urban","N",20000,"CHGOFF",20000,18000,"33",12
"Southeast","Southeast",2001,84,2,"NotNew",2,2,"Urban","Y",25000,"P I F",25000,12500,"62",21
"Midwest","Southeast",2010,84,23,"NotNew",0,2,"Urban","N",150000,"P I F",150000,135000,"33",12
"Midwest","Plains",2001,60,2,"NotNew",0,0,"Urban","0",94875,"P I F",150000,112500,"45",21
"Southeast","Plains",2001,28,2,"NotNew",1,2,"Urban","0",167000,"P I F",167000,125250,"32",21
"Northeast","Northeast",1990,84,26,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,4e+05,"33",32
"Midwest","Midwest",2010,60,1,"NotNew",0,1,"Urban","Y",56891,"CHGOFF",25000,12500,"23",12
"Plains","Plains",1990,120,1,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,425000,"45",32
"Plains","Southeast",2001,264,1,"New",0,1,"Urban","0",250000,"P I F",250000,187500,"81",21
"Pacific West","Plains",2001,84,9,"NotNew",0,9,"Urban","0",458000,"P I F",458000,343500,"44",21
"Northeast","Midwest",2001,60,3,"New",0,3,"Urban","0",88000,"P I F",88000,44000,"33",21
"Pacific West","Pacific West",2010,60,2,"New",0,2,"Urban","N",60000,"P I F",60000,30000,"48",12
"Pacific West","Pacific West",2001,84,4,"New",0,0,"Urban","N",290800,"P I F",290800,218100,"62",21
"Midwest","Midwest",1990,84,30,"NotNew",0,0,"Undefined","N",250000,"P I F",250000,202500,"33",32
"Plains","Plains",2001,186,4,"NotNew",0,0,"Urban","0",148000,"P I F",148000,111000,"81",21
"Plains","Midwest",2010,84,1,"New",0,1,"Urban","Y",126697,"P I F",50000,25000,"62",12
"Midwest","Southeast",2001,120,4,"NotNew",2,4,"Urban","0",87500,"P I F",87500,65625,"44",21
"Northeast","Northeast",2001,168,11,"NotNew",0,11,"Urban","0",427800,"P I F",427800,320850,"56",21
"Midwest","Midwest",2001,240,4,"NotNew",0,0,"Rural","N",380000,"P I F",380000,380000,"42",21
"Northeast","Northeast",2001,84,2,"NotNew",1,3,"Urban","Y",197526,"P I F",30000,15000,"52",21
"Northeast","Northeast",2001,48,6,"NotNew",0,6,"Urban","Y",240461,"P I F",1e+05,50000,"23",21
"Plains","Midwest",2010,84,2,"New",2,2,"Urban","Y",25000,"P I F",25000,12500,"45",12
"Northeast","Northeast",2010,12,2,"NotNew",0,2,"Rural","N",35000,"CHGOFF",35000,17500,"81",12
"Pacific West","Plains",2001,84,15,"NotNew",0,15,"Urban","0",443000,"P I F",443000,332250,"54",21
"Midwest","Midwest",2001,240,4,"NotNew",0,0,"Rural","N",226400,"P I F",226400,169800,"81",21
"Plains","Plains",2001,156,3,"NotNew",0,0,"Urban","0",27500,"P I F",27500,22000,"81",21
"Southeast","Southeast",1990,71,25,"New",0,0,"Undefined","N",49000,"CHGOFF",49000,44100,"00",32
"Midwest","Midwest",1990,120,1,"NotNew",0,0,"Undefined","N",136000,"P I F",136000,122400,"33",32
"Plains","Plains",2010,120,3,"NotNew",0,3,"Rural","N",36000,"P I F",36000,18000,"31",12
"Southeast","Southeast",2001,240,8,"New",0,8,"Rural","N",220000,"P I F",220000,220000,"42",21
"Midwest","Midwest",1990,240,30,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,425000,"00",32
"Northeast","Northeast",2001,84,4,"NotNew",0,0,"Rural","0",60000,"P I F",60000,48000,"48",21
"Southeast","Southeast",2001,240,8,"NotNew",0,0,"Urban","N",276500,"P I F",276500,207375,"62",21
"Pacific West","Southeast",1980,96,4,"NotNew",0,0,"Undefined","N",221000,"CHGOFF",221000,176800,"00",42
"HI","HI",2010,60,10,"NotNew",0,10,"Urban","Y",158754,"P I F",1e+05,50000,"71",12
"Northeast","Plains",2001,51,5,"NotNew",0,0,"Urban","N",2e+05,"CHGOFF",2e+05,150000,"56",21
"Northeast","Northeast",2010,240,5,"NotNew",0,5,"Urban","N",108000,"P I F",108000,54000,"53",12
"Pacific West","Pacific West",2010,107,1,"NotNew",0,1,"Urban","N",5000,"CHGOFF",5000,4250,"44",12
"Northeast","Northeast",2001,84,1,"New",0,1,"Urban","0",45000,"P I F",45000,36000,"71",21
"Northeast","Northeast",1990,84,1,"New",0,0,"Undefined","N",30000,"P I F",30000,19800,"44",32
"Plains","Plains",1990,84,3,"New",0,0,"Undefined","N",77000,"P I F",77000,69300,"44",32
"Northeast","Northeast",2010,60,1,"NotNew",0,1,"Rural","N",52000,"P I F",52000,44200,"62",12
"Midwest","Midwest",1990,180,5,"NotNew",0,0,"Undefined","N",222144,"P I F",222144,183571,"11",32
"Pacific West","Pacific West",2001,276,1,"NotNew",0,1,"Urban","0",190000,"P I F",190000,142500,"44",21
"Northeast","Northeast",1990,144,16,"New",0,0,"Undefined","N",285000,"P I F",285000,216600,"00",32
"Pacific West","Pacific West",2001,240,8,"NotNew",3,0,"Urban","N",709000,"P I F",709000,531750,"62",21
"Midwest","Midwest",2001,172,10,"NotNew",0,10,"Urban","0",427800,"P I F",427800,320850,"44",21
"Northeast","Northeast",1990,240,30,"NotNew",0,0,"Undefined","N",391000,"P I F",391000,391000,"00",32
"Northeast","Northeast",1990,32,12,"NotNew",0,0,"Undefined","N",3e+05,"P I F",3e+05,255000,"00",32
"Pacific West","Pacific West",2001,240,17,"NotNew",0,0,"Urban","N",443000,"P I F",443000,443000,"44",21
"Pacific West","Pacific West",2001,153,6,"NotNew",0,6,"Urban","0",97944,"P I F",150000,112500,"81",21
"Northeast","Northeast",1990,66,7,"New",0,0,"Undefined","N",25000,"P I F",25000,22500,"00",32
"Pacific West","Midwest",2010,39,1,"New",1,2,"Urban","Y",21671,"CHGOFF",10000,5000,"56",12
"Pacific West","Plains",2010,36,8,"NotNew",3,3,"Rural","N",2e+05,"P I F",2e+05,1e+05,"62",12
"Northeast","Northeast",2010,84,14,"NotNew",0,14,"Urban","Y",315000,"P I F",175000,87500,"62",12
"Southeast","Northeast",1990,84,23,"NotNew",0,0,"Undefined","N",720000,"P I F",720000,540750,"62",32
"Northeast","Northeast",2001,84,7,"New",0,0,"Urban","N",350000,"P I F",350000,262500,"72",21
"Plains","Southeast",2010,46,5,"NotNew",2,5,"Urban","N",35000,"CHGOFF",35000,17500,"54",12
"Pacific West","Pacific West",2001,120,15,"NotNew",0,15,"Urban","0",240000,"P I F",240000,180000,"44",21
"HI","HI",1990,92,2,"New",0,0,"Undefined","N",2e+05,"P I F",2e+05,170000,"00",32
"Plains","Plains",1990,84,2,"New",0,0,"Undefined","N",35000,"P I F",35000,31500,"45",32
"Southeast","Southeast",2001,120,1,"New",0,0,"Urban","0",40000,"P I F",50000,42500,"45",21
"Southeast","Plains",2010,84,2,"NotNew",2,4,"Urban","Y",20011,"P I F",20000,10000,"54",12
"Plains","Southeast",2010,96,5,"NotNew",0,5,"Urban","N",415000,"P I F",415000,311250,"23",12
"Northeast","Northeast",2010,60,6,"NotNew",0,6,"Urban","N",150000,"P I F",150000,75000,"72",12
"Pacific West","Pacific West",1990,72,5,"NotNew",0,0,"Undefined","N",110000,"P I F",110000,88000,"00",32
"Midwest","Midwest",1990,90,4,"New",0,0,"Undefined","N",95000,"P I F",95000,85500,"81",32
"Southeast","Southeast",2010,12,3,"NotNew",0,3,"Urban","Y",5e+05,"P I F",5e+05,450000,"42",12
"Southeast","Southeast",2001,90,12,"New",0,0,"Rural","0",120000,"P I F",150000,127500,"81",21
"Northeast","Northeast",1990,240,2,"NotNew",0,0,"Undefined","N",2e+05,"P I F",2e+05,1e+05,"45",32
"Northeast","Northeast",1990,34,10,"NotNew",0,0,"Undefined","N",40000,"P I F",40000,32000,"00",32
"Northeast","Northeast",2010,60,0,"New",0,4,"Rural","N",20000,"P I F",20000,10000,"72",12
"Midwest","Midwest",1990,240,30,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,425000,"00",32
"Pacific West","Pacific West",2001,84,15,"New",0,0,"Urban","N",176000,"P I F",176000,132000,"11",21
"Plains","Plains",1990,84,5,"NotNew",0,0,"Undefined","N",88500,"P I F",88500,79650,"00",32
"Midwest","Midwest",2001,111,1,"NotNew",3,4,"Urban","0",17569,"P I F",10000,5000,"71",21
"Northeast","Southeast",1990,84,11,"NotNew",0,0,"Undefined","N",35000,"P I F",35000,31500,"00",32
"Pacific West","Southeast",2001,84,1,"NotNew",0,1,"Urban","Y",9444,"P I F",15000,7500,"48",21
"Southeast","Southeast",2010,240,30,"NotNew",3,0,"Urban","N",570000,"P I F",570000,570000,"72",12
"Southeast","Southeast",2010,36,2,"NotNew",0,2,"Urban","N",15000,"P I F",15000,7500,"45",12
"Midwest","Midwest",1990,180,14,"NotNew",0,0,"Undefined","N",4e+05,"P I F",675000,573750,"81",32
"Midwest","Midwest",2010,24,29,"NotNew",0,0,"Rural","N",98900,"P I F",98900,49450,"33",12
"Pacific West","Pacific West",2001,87,5,"New",0,0,"Urban","0",145000,"P I F",145000,123250,"72",21
"Pacific West","Plains",2001,84,9,"NotNew",0,9,"Urban","0",467400,"P I F",467400,350550,"33",21
"Northeast","Midwest",2010,120,3,"New",3,3,"Urban","N",2e+05,"P I F",2e+05,150000,"72",12
"Midwest","Midwest",2001,87,2,"New",0,0,"Urban","N",206000,"P I F",206000,154500,"81",21
"Midwest","Midwest",2010,84,9,"NotNew",1,9,"Urban","N",154000,"P I F",154000,115500,"54",12
"Pacific West","Plains",1990,84,5,"NotNew",0,0,"Undefined","N",112000,"P I F",112000,100800,"44",32
"Plains","Plains",1990,120,1,"NotNew",0,0,"Undefined","N",136000,"P I F",136000,122400,"00",32
"Northeast","Northeast",2001,48,2,"NotNew",0,0,"Rural","0",35000,"P I F",35000,29750,"31",21
"Southeast","Southeast",2010,24,8,"NotNew",3,11,"Rural","Y",286473,"P I F",150000,75000,"81",12
"Midwest","Midwest",1990,180,1,"NotNew",0,0,"Undefined","N",2e+05,"P I F",2e+05,170000,"00",32
"Northeast","Pacific West",2010,49,1,"NotNew",0,1,"Urban","N",25000,"P I F",25000,21250,"23",12
"Midwest","Midwest",1990,120,1,"NotNew",0,0,"Undefined","N",45000,"P I F",45000,40500,"00",32
"Midwest","Midwest",2001,96,6,"NotNew",0,6,"Urban","0",101300,"P I F",101300,50650,"81",21
"Pacific West","Pacific West",2010,84,20,"NotNew",0,2,"Urban","Y",50000,"P I F",50000,25000,"23",12
"Plains","Plains",2001,240,3,"New",0,0,"Rural","N",67785,"P I F",67785,54228,"44",21
"Pacific West","Pacific West",2001,240,26,"NotNew",0,0,"Urban","N",539000,"P I F",539000,539000,"33",21
"Midwest","Midwest",1990,66,10,"New",0,0,"Undefined","N",70000,"P I F",70000,63000,"00",32
"Plains","Plains",1990,120,1,"NotNew",0,0,"Undefined","N",2e+05,"P I F",2e+05,170000,"42",32
"Southeast","Southeast",1990,96,6,"NotNew",0,0,"Undefined","N",255000,"P I F",255000,204000,"00",32
"Midwest","Midwest",2001,71,2,"New",1,2,"Urban","Y",55000,"P I F",50000,25000,"56",21
"Southeast","Plains",1990,240,3,"NotNew",0,0,"Undefined","N",154000,"P I F",154000,138600,"00",32
"Midwest","Midwest",2001,120,9,"NotNew",0,0,"Urban","N",150000,"P I F",150000,127500,"81",21
"Midwest","Midwest",2001,84,2,"NotNew",2,0,"Urban","0",21400,"P I F",21400,18190,"48",21
"Pacific West","Plains",1990,120,14,"NotNew",0,0,"Undefined","N",174000,"P I F",174000,140070,"00",32
"Southeast","Southeast",2001,87,3,"NotNew",0,0,"Rural","N",84497,"P I F",93000,79050,"56",21
"Plains","Plains",1990,36,15,"NotNew",0,0,"Undefined","N",21000,"P I F",21000,18900,"00",32
"Pacific West","Midwest",1990,84,3,"NotNew",0,0,"Undefined","N",131000,"P I F",131000,117900,"00",32
"Southeast","Southeast",1990,240,17,"NotNew",0,9,"Undefined","N",133000,"P I F",133000,133000,"44",32
"Plains","Plains",1990,84,14,"NotNew",0,0,"Undefined","N",5e+05,"P I F",5e+05,410000,"21",32
"Pacific West","Midwest",2010,57,1,"NotNew",0,1,"Urban","N",19600,"CHGOFF",19600,19600,"81",12
"Plains","Pacific West",1991,84,27,"NotNew",0,0,"Undefined","N",1e+05,"P I F",1e+05,84000,"00",31
"Midwest","Midwest",1991,120,15,"New",0,0,"Undefined","N",90000,"P I F",90000,81000,"00",31
"Plains","Pacific West",1991,60,7,"NotNew",0,0,"Undefined","N",30000,"P I F",30000,20100,"00",31
"Southeast","Southeast",2001,144,1,"NotNew",0,0,"Rural","N",112875,"P I F",112875,95943,"11",21
"Southeast","Southeast",1991,60,1,"NotNew",0,0,"Undefined","N",54000,"P I F",54000,45900,"00",31
"Northeast","Northeast",2001,84,1,"NotNew",0,1,"Urban","Y",35000,"P I F",35000,17500,"72",21
"Northeast","Northeast",1991,180,30,"NotNew",0,0,"Undefined","N",660000,"P I F",659300,494475,"33",31
"Midwest","Midwest",1991,120,1,"New",0,0,"Undefined","N",6000,"P I F",6000,5400,"72",31
"Midwest","Midwest",1991,130,5,"NotNew",0,0,"Undefined","N",487000,"P I F",487000,350007,"44",31
"Plains","Midwest",2011,84,3,"NotNew",1,4,"Urban","Y",25000,"P I F",25000,12500,"44",11
"Plains","Midwest",1991,66,12,"New",0,0,"Undefined","N",60000,"P I F",60000,54000,"00",31
"Pacific West","Pacific West",1991,240,3,"New",0,0,"Undefined","N",48000,"P I F",48000,43200,"81",31
"Southeast","Southeast",2001,36,10,"NotNew",2,10,"Urban","0",20000,"P I F",20000,10000,"62",21
"Plains","Plains",1991,276,25,"NotNew",0,0,"Undefined","N",128000,"P I F",128000,115200,"00",31
"Northeast","Northeast",1991,5,2,"NotNew",0,0,"Undefined","N",225000,"P I F",225000,191250,"00",31
"Southeast","Southeast",1991,270,4,"NotNew",0,0,"Undefined","N",291000,"P I F",291000,247350,"00",31
"Midwest","Midwest",1991,84,10,"NotNew",0,0,"Undefined","N",59625,"P I F",59625,50681,"00",31
"Southeast","Southeast",2001,84,5,"NotNew",0,0,"Urban","0",50000,"P I F",50000,42500,"81",21
"Northeast","Northeast",1991,240,1,"NotNew",0,0,"Undefined","N",105000,"P I F",105000,94500,"00",31
"Plains","Plains",1991,137,2,"New",0,0,"Undefined","N",114175,"P I F",114175,102758,"81",31
"Plains","Plains",2001,240,4,"New",0,0,"Rural","N",380000,"P I F",380000,380000,"81",21
"Pacific West","Pacific West",2011,123,1,"New",1,0,"Urban","N",375000,"P I F",375000,337500,"72",11
"Plains","Plains",2001,72,7,"NotNew",0,0,"Rural","N",5e+05,"P I F",5e+05,375000,"11",21
"Midwest","Midwest",2001,114,26,"NotNew",0,0,"Urban","N",3e+05,"P I F",3e+05,225000,"42",21
"Midwest","Midwest",2001,60,3,"NotNew",0,0,"Urban","0",46000,"P I F",46000,39100,"81",21
"Plains","Pacific West",2001,85,5,"New",0,0,"Urban","0",280000,"CHGOFF",280000,210000,"81",21
"Plains","Plains",2011,12,11,"NotNew",0,11,"Urban","Y",20000,"P I F",20000,18000,"81",11
"Plains","Northeast",2001,60,3,"New",0,0,"Urban","0",72000,"CHGOFF",72000,61200,"53",21
"Northeast","Northeast",2001,96,2,"New",0,2,"Urban","0",180000,"P I F",180000,135000,"81",21
"Pacific West","Plains",1991,84,3,"New",0,0,"Undefined","N",71000,"P I F",71000,63900,"00",31
"Midwest","Midwest",2011,180,2,"NotNew",1,2,"Rural","N",165000,"P I F",165000,148500,"52",11
"Pacific West","Plains",2001,123,1,"NotNew",1,10,"Urban","0",1e+05,"P I F",1e+05,85000,"54",21
"Northeast","Northeast",2001,84,2,"NotNew",2,2,"Urban","0",4e+05,"P I F",4e+05,3e+05,"45",21
"Pacific West","Plains",2001,120,25,"NotNew",0,0,"Urban","0",484000,"P I F",484000,363000,"32",21
"Pacific West","Southeast",2011,84,1,"NotNew",0,1,"Urban","Y",10000,"P I F",10000,5000,"53",11
"Pacific West","Pacific West",2001,84,5,"NotNew",0,5,"Urban","0",59500,"P I F",59500,29750,"72",21
"Plains","Plains",2001,240,3,"NotNew",0,0,"Rural","N",322000,"P I F",322000,241500,"23",21
"Northeast","Northeast",1991,4,2,"NotNew",0,0,"Undefined","N",65000,"P I F",65000,55250,"00",31
"Plains","Plains",1991,72,2,"NotNew",0,0,"Undefined","N",13600,"P I F",13600,12240,"00",31
"Midwest","Midwest",2001,60,3,"NotNew",0,0,"Rural","0",75000,"P I F",75000,63750,"52",21
"Midwest","Midwest",1991,60,4,"NotNew",0,0,"Undefined","N",18000,"P I F",18000,14400,"23",31
"Northeast","Northeast",1991,61,23,"NotNew",0,0,"Undefined","N",75000,"CHGOFF",75000,67500,"23",31
"Midwest","Midwest",2001,60,3,"NotNew",0,0,"Rural","0",105000,"P I F",105000,89250,"44",21
"Southeast","Plains",2001,103,3,"New",0,0,"Rural","N",250000,"CHGOFF",250000,187500,"44",21
"Plains","Plains",2001,71,26,"NotNew",0,0,"Rural","N",350000,"CHGOFF",350000,262500,"44",21
"Pacific West","Pacific West",2001,84,12,"NotNew",0,12,"Urban","0",616000,"CHGOFF",616000,462000,"23",21
"Northeast","Northeast",1991,180,2,"NotNew",0,0,"Undefined","N",6e+05,"P I F",6e+05,510000,"00",31
"Plains","Plains",2001,50,5,"NotNew",0,0,"Urban","N",327500,"CHGOFF",327500,245625,"45",21
"Midwest","Pacific West",2001,28,10,"NotNew",0,10,"Urban","0",258000,"CHGOFF",258000,193500,"72",21
"Northeast","Southeast",2001,240,3,"New",2,5,"Urban","0",265000,"P I F",265000,198750,"72",21
"Northeast","Northeast",2001,60,9,"NotNew",0,0,"Urban","0",50000,"P I F",50000,42500,"54",21
"Plains","Plains",2001,240,5,"NotNew",0,5,"Urban","N",169000,"P I F",169000,169000,"33",21
"Pacific West","Pacific West",2011,84,0,"New",0,6,"Rural","N",105000,"P I F",105000,52500,"62",11
"Northeast","Northeast",2011,24,20,"NotNew",0,15,"Rural","Y",94783,"P I F",4e+05,2e+05,"54",11
"Pacific West","Pacific West",2011,18,1,"NotNew",0,1,"Rural","Y",497220,"P I F",284200,255780,"23",11
"Plains","Plains",2001,84,4,"New",0,0,"Urban","N",25000,"P I F",25000,21250,"56",21
"Plains","Plains",1991,180,2,"NotNew",0,0,"Undefined","N",150000,"P I F",150000,135000,"11",31
"Plains","Plains",2001,60,2,"NotNew",0,0,"Urban","N",120000,"P I F",120000,102000,"48",21
"Pacific West","Northeast",1991,96,6,"NotNew",0,0,"Undefined","N",167000,"P I F",167000,120240,"00",31
"Plains","Plains",1991,84,3,"NotNew",0,0,"Undefined","N",150000,"P I F",150000,127500,"45",31
"Pacific West","Pacific West",2001,84,2,"NotNew",0,0,"Urban","Y",150000,"P I F",150000,75000,"23",21
"Pacific West","Plains",2011,189,20,"NotNew",0,10,"Urban","N",432204,"P I F",432300,324225,"62",11
"Midwest","Midwest",2001,84,7,"NotNew",0,0,"Urban","0",75000,"P I F",75000,63750,"72",21
"Midwest","Midwest",1991,120,2,"New",0,0,"Undefined","N",30000,"P I F",30000,24000,"00",31
"Pacific West","Midwest",1991,57,2,"New",0,0,"Undefined","N",120000,"P I F",120000,108000,"45",31
"Plains","Plains",1991,120,19,"New",0,0,"Undefined","N",250000,"P I F",250000,212500,"00",31
"Northeast","Northeast",2001,48,3,"NotNew",0,3,"Urban","Y",134955,"P I F",75000,37500,"56",21
"Midwest","Midwest",1991,240,1,"NotNew",0,11,"Undefined","N",353000,"P I F",415000,415000,"00",31
"Plains","Plains",2011,100,22,"NotNew",2,15,"Urban","N",49500,"P I F",49500,24750,"81",11
"Pacific West","Pacific West",1991,36,10,"NotNew",0,0,"Undefined","N",17500,"P I F",17500,14000,"00",31
"Midwest","Northeast",2011,36,10,"NotNew",0,0,"Urban","Y",775688,"P I F",350000,175000,"44",11
"Southeast","Southeast",1991,84,3,"NotNew",0,0,"Undefined","N",143750,"P I F",143750,115000,"32",31
"Pacific West","Plains",1991,264,2,"NotNew",0,0,"Undefined","N",350000,"P I F",350000,297500,"33",31
"Plains","Plains",1991,180,2,"NotNew",0,0,"Undefined","N",265000,"P I F",265000,225250,"00",31
"Plains","Midwest",2011,72,1,"New",0,1,"Urban","N",26000,"P I F",26000,13000,"33",11
"Pacific West","Pacific West",2011,87,26,"NotNew",0,2,"Urban","N",2e+05,"P I F",2e+05,180000,"54",11
"Pacific West","Pacific West",1991,108,5,"NotNew",0,0,"Undefined","N",450000,"P I F",450000,360000,"00",31
"Plains","Plains",2001,90,6,"New",0,0,"Rural","0",162000,"P I F",162000,121500,"62",21
"Southeast","Southeast",2011,84,15,"NotNew",0,0,"Urban","N",250000,"P I F",250000,225000,"42",11
"Midwest","Midwest",2001,84,1,"NotNew",0,0,"Urban","0",125000,"P I F",125000,106250,"44",21
"Plains","Plains",1991,264,4,"NotNew",0,0,"Undefined","N",235000,"P I F",235000,188000,"00",31
"Northeast","Northeast",1991,120,7,"New",0,0,"Undefined","N",180000,"P I F",180000,153000,"44",31
"Plains","Plains",2011,36,9,"NotNew",2,9,"Urban","Y",2e+05,"P I F",1e+05,50000,"42",11
"Pacific West","Pacific West",1991,240,21,"NotNew",0,0,"Undefined","N",251000,"P I F",251000,200800,"54",31
"Pacific West","Pacific West",1991,287,7,"NotNew",0,0,"Undefined","N",369000,"CHGOFF",369000,295200,"33",31
"Northeast","Northeast",1991,58,5,"New",0,0,"Undefined","N",225000,"P I F",225000,191250,"32",31
"Pacific West","Pacific West",1991,240,2,"NotNew",0,0,"Undefined","N",105000,"P I F",105000,94500,"22",31
"Pacific West","Pacific West",2001,274,1,"New",0,1,"Urban","0",190000,"CHGOFF",190000,142500,"72",21
"Pacific West","Plains",1991,84,6,"NotNew",0,0,"Undefined","N",40000,"P I F",40000,36000,"00",31
"Plains","Plains",1991,180,4,"NotNew",0,0,"Undefined","N",149500,"P I F",149500,130065,"53",31
